//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
6306 32002 8 0 1.00 0.39 0.15 0.5 0.0 0.0
6306 32002 16 0 1.00 0.39 0.15 0.5 0.0 0.0
6306 32231 17 0 1.00 1.00 1.00 0.5 0.0 0.0
6306 32231 18 0 1.00 1.00 1.00 0.15 0.0 0.0
6306 32231 19 0 1.00 1.00 1.00 0.1 0.0 0.0
6306 32231 21 0 1.00 1.00 1.00 0.1 0.0 0.0
6306 32231 22 0 1.00 1.00 1.00 0.15 0.0 0.0
6306 32231 23 0 1.00 1.00 1.00 0.1 0.0 0.0
6306 32231 24 0 1.00 1.00 1.00 0.1 0.0 0.0
6306 32231 20 0 1.00 1.00 1.00 0.4 0.0 0.0
6306 32231 25 0 1.00 1.00 1.00 0.4 0.0 0.0
6306 32002 20 0 1.00 0.09 0.00 0.8 0.0 0.0
6306 32002 25 0 1.00 0.09 0.00 0.8 0.0 0.0
6306 32002 20 0 1.00 0.09 0.00 0.8 0.0 0.0
6306 32002 25 0 1.00 0.09 0.00 0.8 0.0 0.0
6306 32501 20 0 1.00 0.89 0.29 0.15 0.0 0.0
6306 32501 25 0 1.00 0.89 0.29 0.15 0.0 0.0
6306 32501 17 0 1.00 0.89 0.29 0.2 0.0 0.0
6306 32501 18 0 1.00 0.09 0.00 0.1 0.0 0.0
6306 32501 22 0 1.00 0.09 0.00 0.1 0.0 0.0
6306 32280 20 0 0.50 0.50 0.50 0.15 0.0 0.0
6306 32280 25 0 0.50 0.50 0.50 0.15 0.0 0.0
//Control Cloak
//White
6304 32002 25 0 0.85 0.82 1.0 0.5 0.0 0.0
6304 32002 26 0 0.85 0.82 1.0 0.5 0.0 0.0
6304 32002 27 0 0.85 0.82 1.0 0.5 0.0 0.0
6304 32002 28 0 0.85 0.82 1.0 0.5 0.0 0.0
6304 32002 29 0 0.85 0.82 1.0 0.5 0.0 0.0
6304 32002 30 0 0.85 0.82 1.0 0.5 0.0 0.0
6304 32002 31 0 0.85 0.82 1.0 0.5 0.0 0.0
6304 32002 32 0 0.85 0.82 1.0 0.5 0.0 0.0
//Gold
6304 32002 33 0 1.00 0.95 0.49 1.0 0.0 0.0
6304 32002 34 0 1.00 0.95 0.49 1.0 0.0 0.0
6304 32002 35 0 1.00 0.95 0.49 1.0 0.0 0.0
6304 32002 35 0 0.85 0.82 1.0 0.5 0.0 0.0
//Wing of Conqueror
6297 32002 7 0 1.00 0.50 0.00 1.1 0.0 0.0
6297 32002 15 0 1.00 0.50 0.00 1.1 0.0 0.0
6297 32002 23 0 1.00 0.50 0.00 1.5 0.0 0.0
6297 32002 24 0 1.00 0.50 0.00 0.8 0.0 0.0
