//============================================================
// Item Don't use shadow
//============================================================
//==========================
//Type   ItemIndex
//==========================
7      62
7      63
7      64
7      65
7      66
7      67
7      68
7      69
7      70
7      71
7      72
8      62
8      63
8      64
8      65
8      66
8      67
8      68
8      69
8      70
8      71
8      72
9      62
9      63
9      64
9      65
9      66
9      67
9      68
9      69
9      70
9      71
9      72
10      62
10      63
10      64
10      65
10      66
10      67
10      68
10      69
10      70
10      71
10      72
11      62
11      63
11      64
11      65
11      66
11      67
11      68
11      69
11      70
11      71
11      72
12      163
end
