//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
31	108	108	1	508	200	0	1130	1410	2150	1600	10011	0	0	0	0	0	1130	1410	2150	1600	10011	0	0	0	0	0	// Guerrero Principiante
31	116	116	1	508	250	0	1160	0	0	0	0	0	0	0	0	0	1160	0	0	0	0	0	0	0	0	0	// Character Rename Service
31	118	118	1	508	200	0	1130	2120	1410	1610	10011	0	0	0	0	0	1130	2120	1410	1610	10011	0	0	0	0	0	// Mago Principiante
31	119	119	1	508	200	0	1130	1410	1340	1530	1590	10011	0	0	0	0	1130	1410	1340	1530	1590	10011	0	0	0	0	// Elfa Principiante
31	149	149	1	508	250	0	10016	10017	10018	10019	10020	0	0	0	0	0	10016	10017	10018	10019	10020	0	0	0	0	0	// Tickets Para Armadura Lucky 2
31	190	190	1	508	50	0	1900	0	0	0	0	0	0	0	0	0	1900	0	0	0	0	0	0	0	0	0	// Llave plateada
31	191	191	1	508	50	0	1910	0	0	0	0	0	0	0	0	0	1910	0	0	0	0	0	0	0	0	0	// Llave Dorada
31	211	211	1	508	200	0	2110	0	0	0	0	0	0	0	0	0	2110	0	0	0	0	0	0	0	0	0	// Carta del Caos ORO
31	213	213	1	508	250	0	2130	0	0	0	0	0	0	0	0	0	2130	0	0	0	0	0	0	0	0	0	// Carta del Caos RARA
31	229	229	1	508	250	0	10004	10005	10006	10007	10003	0	0	0	0	0	10004	10005	10006	10007	10003	0	0	0	0	0	// Tickets Para Armadura Lucky
31	280	280	1	508	200	0	2800	0	0	0	0	0	0	0	0	0	2800	0	0	0	0	0	0	0	0	0	// Mochila magica
31	327	327	1	508	200	0	3270	0	0	0	0	0	0	0	0	0	3270	0	0	0	0	0	0	0	0	0	// Carta Caos Mini
31	328	328	1	508	200	0	3280	0	0	0	0	0	0	0	0	0	3280	0	0	0	0	0	0	0	0	0	// Baul Expansion
32	122	122	1	508	90	0	1220	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	// Anillo Skeleton
32	123	123	1	508	100	0	1230	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	// Anillo Panda
32	124	124	1	508	100	0	1240	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	// Anillo de Mago Letal
32	125	125	1	508	40	0	1250	0	0	0	0	0	0	0	0	0	1250	0	0	0	0	0	0	0	0	0	// Anillo Rubi
32	126	126	1	508	40	0	1260	0	0	0	0	0	0	0	0	0	1260	0	0	0	0	0	0	0	0	0	// Anillo Topacio
32	127	127	1	508	50	0	1270	0	0	0	0	0	0	0	0	0	1270	0	0	0	0	0	0	0	0	0	// Anillo Amatista
32	128	128	1	508	40	0	1280	0	0	0	0	0	0	0	0	0	1280	0	0	0	0	0	0	0	0	0	// Collar Rubies
32	129	129	1	508	40	0	1290	0	0	0	0	0	0	0	0	0	1290	0	0	0	0	0	0	0	0	0	// Collar Esmeraldas
32	130	130	1	508	40	0	1300	0	0	0	0	0	0	0	0	0	1300	0	0	0	0	0	0	0	0	0	// Collar de Zafiros
33	101	101	1	508	10	0	1010	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	// Talisman de la Suerte
33	172	172	1	508	60	0	1720	0	0	0	0	0	0	0	0	0	1720	0	0	0	0	0	0	0	0	0	// Talisman del caos
33	173	173	1	508	25	0	1730	0	0	0	0	0	0	0	0	0	1730	0	0	0	0	0	0	0	0	0	// Talisman de Resurrecion
33	174	174	1	508	20	0	1740	0	0	0	0	0	0	0	0	0	1740	0	0	0	0	0	0	0	0	0	// Talisman de Movilidad
33	175	175	1	508	15	0	1750	0	0	0	0	0	0	0	0	0	1750	0	0	0	0	0	0	0	0	0	// Talisman del Guardian
33	238	238	1	508	10	0	2380	0	0	0	0	0	0	0	0	0	2380	0	0	0	0	0	0	0	0	0	// Talisman Proteccion de Obj.
33	270	270	1	508	20	0	2700	0	0	0	0	0	0	0	0	0	2700	0	0	0	0	0	0	0	0	0	// Talisman of Wings of Satan
33	271	271	1	508	20	0	2710	0	0	0	0	0	0	0	0	0	2710	0	0	0	0	0	0	0	0	0	// Talisman of Wings of Heaven
33	272	272	1	508	20	0	2720	0	0	0	0	0	0	0	0	0	2720	0	0	0	0	0	0	0	0	0	// Talisman of Wings of Elf
33	273	273	1	508	20	0	2730	0	0	0	0	0	0	0	0	0	2730	0	0	0	0	0	0	0	0	0	// Talisman of Wing of Curse
33	274	274	1	508	20	0	2740	0	0	0	0	0	0	0	0	0	2740	0	0	0	0	0	0	0	0	0	// Talisman of Cape of Emperor
33	275	275	1	508	30	0	2750	0	0	0	0	0	0	0	0	0	2750	0	0	0	0	0	0	0	0	0	// Talisman of Wings of Dragon
33	276	276	1	508	20	0	2760	0	0	0	0	0	0	0	0	0	2760	0	0	0	0	0	0	0	0	0	// Talisman of Wings of Soul
33	277	277	1	508	30	0	2770	0	0	0	0	0	0	0	0	0	2770	0	0	0	0	0	0	0	0	0	// Talisman of Wings of Spirits
33	278	278	1	508	30	0	2780	0	0	0	0	0	0	0	0	0	2780	0	0	0	0	0	0	0	0	0	// Talisman of Wing of Despair
33	279	279	1	508	20	0	2790	0	0	0	0	0	0	0	0	0	2790	0	0	0	0	0	0	0	0	0	// Talisman of Wings of Darkness
34	140	140	1	508	50	0	1400	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	// Sello de Sustento
34	141	141	1	508	75	0	1410	0	0	0	0	0	0	0	0	0	1410	0	0	0	0	0	0	0	0	0	// Sello de Ascension
34	142	142	1	508	75	0	1420	0	0	0	0	0	0	0	0	0	1420	0	0	0	0	0	0	0	0	0	// Sello de Riqueza
34	143	143	1	508	75	0	1430	0	0	0	0	0	0	0	0	0	1430	0	0	0	0	0	0	0	0	0	// Sello de Curacion
34	144	144	1	508	75	0	1440	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	0	0	// Sello de Divinidad
34	145	145	1	508	80	0	1450	0	0	0	0	0	0	0	0	0	1450	0	0	0	0	0	0	0	0	0	// Max AG Impulsor
34	146	146	1	508	80	0	1460	0	0	0	0	0	0	0	0	0	1460	0	0	0	0	0	0	0	0	0	// Max SD Impulsor
34	147	147	1	508	120	0	1470	0	0	0	0	0	0	0	0	0	1470	0	0	0	0	0	0	0	0	0	// Sello Maestro de Curacion
34	148	148	1	508	120	0	1480	0	0	0	0	0	0	0	0	0	1480	0	0	0	0	0	0	0	0	0	// Master Seal of Ascension
34	255	255	1	508	100	0	2550	0	0	0	0	0	0	0	0	0	2550	0	0	0	0	0	0	0	0	0	// Party EXP Scroll
34	256	256	1	508	100	0	2560	0	0	0	0	0	0	0	0	0	2560	0	0	0	0	0	0	0	0	0	// Sello de Movilidad
35	156	156	1	508	120	0	1560	0	0	0	0	0	0	0	0	0	1560	0	0	0	0	0	0	0	0	0	// Mascota Panda
35	157	157	1	508	130	0	1570	0	0	0	0	0	0	0	0	0	1570	0	0	0	0	0	0	0	0	0	// Mascota Unicornio
35	158	158	1	508	120	0	1580	0	0	0	0	0	0	0	0	0	1580	0	0	0	0	0	0	0	0	0	// Mascota Esqueleton
35	159	159	1	508	80	0	1590	0	0	0	0	0	0	0	0	0	1590	0	0	0	0	0	0	0	0	0	// Espiritud Guardian
35	160	160	1	508	80	0	1600	0	0	0	0	0	0	0	0	0	1600	0	0	0	0	0	0	0	0	0	// Demonio
35	161	161	1	508	100	0	1610	0	0	0	0	0	0	0	0	0	1610	0	0	0	0	0	0	0	0	0	// Mascota Rudolf
35	162	162	1	508	500	0	1620	0	0	0	0	0	0	0	0	0	1620	0	0	0	0	0	0	0	0	0	// Caballo Oscuro
35	163	163	1	508	500	0	1630	0	0	0	0	0	0	0	0	0	1630	0	0	0	0	0	0	0	0	0	// Cuervo Oscuro
35	164	164	1	508	550	0	1640	0	0	0	0	0	0	0	0	0	1640	0	0	0	0	0	0	0	0	0	// Cuerno de Fenrir Rojo
35	165	165	1	508	50	0	1650	0	0	0	0	0	0	0	0	0	1650	0	0	0	0	0	0	0	0	0	// Cuerno de Dinorante
36	102	102	1	508	60	0	1020	0	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	// Devil Square Ticket
36	103	103	1	508	60	0	1030	0	0	0	0	0	0	0	0	0	1030	0	0	0	0	0	0	0	0	0	// Blood Castle Ticket
36	104	104	1	508	60	0	1040	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	0	0	// Ticket de Acceso Chaos Castle
36	105	105	1	508	60	0	1050	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	// Kalima Ticket
36	107	107	1	508	60	0	1070	0	0	0	0	0	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	// Ticket de Acceso a Varka
36	131	131	1	508	60	0	1310	0	0	0	0	0	0	0	0	0	1310	0	0	0	0	0	0	0	0	0	// Ticket de Acceso illusion Temple
36	167	167	1	508	60	0	1670	0	0	0	0	0	0	0	0	0	1670	0	0	0	0	0	0	0	0	0	// Access Ticket to Varka Map 7
38	109	109	1	508	60	0	1090	0	0	0	0	0	0	0	0	0	1090	0	0	0	0	0	0	0	0	0	// Pergamino de Rapidez
38	110	110	1	508	60	0	1100	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0	0	// Pergamino de Fuerza
38	111	111	1	508	60	0	1110	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	// Pergamino de Batalla
38	112	112	1	508	60	0	1120	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	// Pergamino de Curacion
38	113	113	1	508	60	0	1130	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	0	0	0	0	// Pergamino de Mana
38	115	115	1	508	60	0	1150	0	0	0	0	0	0	0	0	0	1150	0	0	0	0	0	0	0	0	0	// Pergamino de Defensa
38	176	176	1	508	60	0	1760	0	0	0	0	0	0	0	0	0	1760	0	0	0	0	0	0	0	0	0	// Pergamino de Ira
38	214	214	1	508	60	0	2140	0	0	0	0	0	0	0	0	0	2140	0	0	0	0	0	0	0	0	0	// Pergamino de Hechizo
39	182	182	1	508	12	0	1820	0	0	0	0	0	0	0	0	0	1820	0	0	0	0	0	0	0	0	0	// Pocion Elite de Curacion
39	183	183	1	508	12	0	1830	0	0	0	0	0	0	0	0	0	1830	0	0	0	0	0	0	0	0	0	// Pocion Elite de Mana
39	184	184	1	508	12	0	1840	0	0	0	0	0	0	0	0	0	1840	0	0	0	0	0	0	0	0	0	// Pocion Elit de SD
39	281	281	1	508	50	0	2810	0	0	0	0	0	0	0	0	0	2810	0	0	0	0	0	0	0	0	0	// Elixir of Strength
39	282	282	1	508	50	0	2820	0	0	0	0	0	0	0	0	0	2820	0	0	0	0	0	0	0	0	0	// Elixir of Agility
39	283	283	1	508	50	0	2830	0	0	0	0	0	0	0	0	0	2830	0	0	0	0	0	0	0	0	0	// Elixir of Health
39	314	314	1	508	50	0	3140	0	0	0	0	0	0	0	0	0	3140	0	0	0	0	0	0	0	0	0	// Elixir of Control
39	315	315	1	508	50	0	3150	0	0	0	0	0	0	0	0	0	3150	0	0	0	0	0	0	0	0	0	// Elixir of Energy
39	316	316	1	508	8	0	3160	0	0	0	0	0	0	0	0	0	3160	0	0	0	0	0	0	0	0	0	// Medium Elite Healing Potion
40	132	132	1	508	80	0	1320	0	0	0	0	0	0	0	0	0	1320	0	0	0	0	0	0	0	0	0	// Small Cape of Lord
40	133	133	1	508	80	0	1330	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0	0	0	0	0	// Small Wing of Curse
40	134	134	1	508	80	0	1340	0	0	0	0	0	0	0	0	0	1340	0	0	0	0	0	0	0	0	0	// Small Wings of Elf
40	192	192	1	508	500	0	1920	0	0	0	0	0	0	0	0	0	1920	0	0	0	0	0	0	0	0	0	// Wings of Dragon
40	193	193	1	508	500	0	1930	0	0	0	0	0	0	0	0	0	1930	0	0	0	0	0	0	0	0	0	// Wings of Darkness
40	194	194	1	508	500	0	1940	0	0	0	0	0	0	0	0	0	1940	0	0	0	0	0	0	0	0	0	// Wings of Soul
40	195	195	1	508	500	0	1950	0	0	0	0	0	0	0	0	0	1950	0	0	0	0	0	0	0	0	0	// Wings of Spirits
