0
//Index	Money	RateAL0	RateAL1	RateAL2	RateAL3	CGroup	CItem	ExeRand
58		1000	100		100		100		100		1		8       1		 //Wings lvl4
59		1000	100		100		100		100		4		6       0		 //Pluma S4
100		1000	100		100		100		100		5		4       1		 //Cloack Death
101		1000	100		100		100		100		5		4       1		 //Wing of Chaos
102		1000	100		100		100		100		5		4       1		 //Wing of Magic
103		1000	100		100		100		100		5		4       1		 //Wing of Life
105		1000    100		100		100		100		10		6       1		 //DARKANGEL Weapons
107		1000	100		100		100		100		10		6		1		 //HOLYANGEL Weapons
109		1000	100		100		100		100		10		6       1		 //Soul Weapons
110		1000	100		100		100		100		10		6       1		 //BLUE EYES Weapons
111		1000	100		100		100		100		1		6       0		 //Archangel큦 Hammer
112		1000	100		100		100		100		7		6		1		 //Blessed Archangel큦
120		1000	100		100		100		100		1		2		0		 //Ancient Hero Soul
121		1000	100		100		100		100		28		2		0		 //Blood Angel Mastery
122		1000	100		100		100		100		28		6		0		 //Darkangel Mastery
123		1000	100		100		100		100		28		6		0		 //HOLYANGEL Mastery
124		1000	100		100		100		100		28		6		0		 //AWAKENING Mastery
125		1000	100		100		100		100		28		6		0		 //BLUE EYES Mastery
126		1000	100		100		100		100		28		6		0		 //SILVER HEART Mastery
127		1000	100		100		100		100		28		6		0		 //MAMTICORE Mastery
128		1000	100		100		100		100		10		6       1		 //Silver Weapons
150		1000	100		100		100		100		1		7		0		 //Ghost Horse
151		1000	100		100		100		100		1		5		1		 //Wing of Conqueror
end

1
//Index	ItemMix		level	Count	commnet
//-- Wings lvl 4                      lineas del mix: 81
58		6285		2		1		//Jewel Chaos
58		6174		2		1		//Jewel Bless
58		6175		2		1		//Jewel Soul
58		6281		2		1		//Jewel Creation
58		6821		0		1		//Garuda's Feather
58		6822		0		1		//Garuda's Flame
58		6823		0		1		//Golden Sentences
58		6826		0		1		//Lesser Spirit Stone
//-- Garuda Feather                   lineas del mix: 82,83,84
59		6285		2		1		//Jewel Chaos
59		6174		2		1		//Jewel Bless
59		6175		2		1		//Jewel Soul
59		6281		2		1		//Jewel Creation
59		6826		0		1		//Lesser Spirit Stone
//Index	ItemMix		level	Count
//-- Cloak Of Death                   lineas del mix: 85 a 88
100     6159		0		1		//Jewel Chaos simple
100     7190		0		1		//Jewel Creation simple
100     7338        0       1       //Death King's Bone
//-- Wing of chaos                    lineas del mix: 89 a 92
101     6159		0		1		//Jewel Chaos simple
101     7190		0		1		//Jewel Creation simple
101     7339        0       1       //Hell Maine's Leather
//-- Wing of Magic                    lineas del mix: 93 a 96
102     6159		0		1		//Jewel Chaos simple
102     7190		0		1		//Jewel Creation simple
102     7340        0       1       //Dark Phoenix Flame
//-- Wing of Life                    lineas del mix: 97 a 100
103     6159		0		1		//Jewel Chaos simple
103     7190		0		1		//Jewel Creation simple
103     7341        0       1       //Death Beam Knight Soul
//-- Blood Angel Weapons              lineas del mix: 101 a 107
105     6159		0		1		//Jewel Chaos simple
105     7190		0		1		//Jewel Creation simple
105		6174		2		1		//Jewel Bless Bundle
105		6175		2		1		//Jewel Soul Bundle
105     6810        0       1       //Dark Angel Anvil
//-- DARKANGEL Weapons               lineas del mix: 108 a 114
