//Index	ItemIndex   AddHP	AddMP	DamageRate   AttackSpeed   DoubleDmgRate	TripleDmgRate	AddExp	ResistDoubleDmg	ResistIgnoreDefense	ResistIgnoreSD	ResistCriticalDMG	ResistExceDMG	BlockStuck	ReflectRate	PetRecovery	Commnet
1	6856	    200		500	40	     50	     	   1			0		0	0		0			0		0			0		0		0		1		//Pet38
2	6857	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//ghost
3	6858	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//petsteel
4	6859	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//adventurecat
5	6860	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//angrychickenup
6	6861	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//baelpet_evol
7	6862	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//bateriaup
8	6863	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//beagle
9	6864	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//bluefairyup
10	6865	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//bogeonpet_evol
11	6866	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//bulldog
12	6867	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//cyclopspet_evol
13	6868	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//figure
14	6869	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//knightinstructorup
15	6870	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//knightzombieup
16	6871	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//lycanpet_evol
17	6872	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//mermaidpet_evol
18	6873	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//minopet_evol
19	6874	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//mommothpet_evol
20	6875	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//mummyboy
21	6876	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//polarispet_evol
22	6877	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//reynerpet_evol
23	6878	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//rio
24	6879	    1000	2000	40	     50	           10			0		0	0		0			0		0			0		0		0		1		//skullpet
25	6880	    5000	1000	100	     50	           50			0		0	0		0			0		0			0		0		0		1		//alcamopet
26	6881	    10000	2000	100	     100	   100			0		0	0		0			0		0			0		0		0		1		//alcamopet_evol
27	6886	    10000	2000	100	     0	    	   0			0		0	0		0			0		0			0		0		0		1		//ghost_horse
28	6887	    10000	2000	100	     0	    	   0			0		0	0		0			0		0			0		0		0		1		//fenril_gold
end
