//=======================================================
//  WCOINC       WCOINP      GOBLINPOINT
//=======================================================
0
     100            0             0
end

//===================================================================================
// numb  Type   Index  Level   Skill   Luck      Option   Excellent
//===================================================================================
1
0         14     16     0        0       0          0          0
1         14     16     0        0       0          0          0
2         14     16     0        0       0          0          0
3         14     16     0        0       0          0          0
4         14     16     0        0       0          0          0
5         14     16     0        0       0          0          0
6         14     16     0        0       0          0          0
7         14     16     0        0       0          0          0
8         14     16     0        0       0          0          0
9         14     16     0        0       0          0          0
10         14     16     0        0       0          0          0
11         14     16     0        0       0          0          0
end
