0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Box of Kundun 2"	 	 0	   	   100		  	  1		  	  	  0		    		0		   		1
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           14     1          3          0       0      0        2
0           16     1          3          0       0      0        2
0           17     1          3          0       0      0        2
0           31     1          3          0       0      0        2
2           5      1          3          0       0      0        2
2           4      1          3          0       0      0        2
2           7      1          3          0       0      0        2
2           9      1          3          0       0      0        2
2           10     1          3          0       0      0        2
3           9      1          3          0       0      0        2
4           17     1          3          0       0      0        2
4           14     1          3          0       0      0        2
5           6      1          3          0       0      0        2
5           8      1          3          0       0      0        2
5           16     1          3          0       0      0        2
5           21     1          3          0       0      0        2
5           22     1          3          0       0      0        2
7           16     1          3          0       0      0        2
8           16     1          3          0       0      0        2
9           16     1          3          0       0      0        2
10          16     1          3          0       0      0        2
11          16     1          3          0       0      0        2
7           18     1          3          0       0      0        2
8           18     1          3          0       0      0        2
9           18     1          3          0       0      0        2
10          18     1          3          0       0      0        2
11          18     1          3          0       0      0        2
7           19     1          3          0       0      0        2
8           19     1          3          0       0      0        2
9           19     1          3          0       0      0        2
10          19     1          3          0       0      0        2
11          19     1          3          0       0      0        2
8           37     1          3          0       0      0        2
9           37     1          3          0       0      0        2
10          37     1          3          0       0      0        2
11          37     1          3          0       0      0        2
7           27     1          3          0       0      0        2
8           27     1          3          0       0      0        2
9           27     1          3          0       0      0        2
10          27     1          3          0       0      0        2
11          27     1          3          0       0      0        2
7           41     1          3          0       0      0        2
8           41     1          3          0       0      0        2
9           41     1          3          0       0      0        2
10          41     1          3          0       0      0        2
11          41     1          3          0       0      0        2
0           14     1          3          1       1      1        2
0           16     1          3          1       1      1        2
2           5      1          3          1       1      1        2
0           31     1          3          1       1      1        2
2           4      1          3          1       1      1        2
3           9      1          3          1       1      1        2
2           7      1          3          1       1      1        2
4           5      1          3          1       1      1        2
4           14     1          3          1       1      1        2
4           16     1          3          1       1      1        2
5           5      1          3          1       1      1        2
5           6      1          3          1       1      1        2
5           8      1          3          1       1      1        2
2           9      1          3          1       1      1        2
2           10     1          3          1       1      1        2
5           15     1          3          1       1      1        2
5           21     1          3          1       1      1        2
7           34     1          3          1       1      1        2
8           34     1          3          1       1      1        2
9           34     1          3          1       1      1        2
10          34     1          3          1       1      1        2
11          34     1          3          1       1      1        2
7           35     1          3          1       1      1        2
8           35     1          3          1       1      1        2
9           35     1          3          1       1      1        2
10          35     1          3          1       1      1        2
11          35     1          3          1       1      1        2
7           36     1          3          1       1      1        2
8           36     1          3          1       1      1        2
9           36     1          3          1       1      1        2
10          36     1          3          1       1      1        2
11          36     1          3          1       1      1        2
8           15     1          3          1       1      1        2
9           15     1          3          1       1      1        2
10          15     1          3          1       1      1        2
11          15     1          3          1       1      1        2
7           25     1          3          1       1      1        2
8           25     1          3          1       1      1        2
9           25     1          3          1       1      1        2
10          25     1          3          1       1      1        2
11          25     1          3          1       1      1        2
7           26     1          3          1       1      1        2
8           26     1          3          1       1      1        2
9           26     1          3          1       1      1        2
10          26     1          3          1       1      1        2
11          26     1          3          1       1      1        2
7           40     1          3          1       1      1        2
8           40     1          3          1       1      1        2
9           40     1          3          1       1      1        2
10          40     1          3          1       1      1        2
11          40     1          3          1       1      1        2
6           13     1          3          1       1      1        2
6           14     1          3          1       1      1        2
6           11     1          3          1       1      1        2
13          13     0          0          1       1      1        1
13          12     0          0          1       1      1        1
13          25     0          0          1       1      1        1
13          26     0          0          1       1      1        1
13          27     0          0          1       1      1        1
13          28     0          0          1       1      1        1
13          8      0          0          1       1      1        1
13          9      0          0          1       1      1        1
13          21     0          0          1       1      1        1
13          22     0          0          1       1      1        1
13          23     0          0          1       1      1        1
13          24     0          0          1       1      1        1
14          19     2          4          0       0      0        0
13          18     2          4          0       0      0        0
12          15     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          16     0          0          0       0      0        0
end
