0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Box of Kundun 3"	 	 0	   	   100		  	  2		  	 	  0		    		0		   		1
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           16     3          6          0       0      0        2
0           18     4          6          0       0      0        2
0           24     4          6          0       0      0        2
4           17     4          6          0       0      0        2
4           22     4          6          0       0      0        2
4           19     4          6          0       0      0        2
5           13     4          6          0       0      0        2
2           12     4          6          0       0      0        2
5           17     4          6          0       0      0        2
5           23     4          6          0       0      0        2
7           21     4          6          0       0      0        2
8           21     4          6          0       0      0        2
9           21     4          6          0       0      0        2
10          21     4          6          0       0      0        2
11          21     4          6          0       0      0        2
7           22     4          6          0       0      0        2
8           22     4          6          0       0      0        2
9           22     4          6          0       0      0        2
10          22     4          6          0       0      0        2
11          22     4          6          0       0      0        2
7           24     4          6          0       0      0        2
8           24     4          6          0       0      0        2
9           24     4          6          0       0      0        2
10          24     4          6          0       0      0        2
11          24     4          6          0       0      0        2
8           23     4          6          0       0      0        2
9           23     4          6          0       0      0        2
10          23     4          6          0       0      0        2
11          23     4          6          0       0      0        2
8           38     4          6          0       0      0        2
9           38     4          6          0       0      0        2
10          38     4          6          0       0      0        2
11          38     4          6          0       0      0        2
7           42     4          6          0       0      0        2
8           42     4          6          0       0      0        2
9           42     4          6          0       0      0        2
10          42     4          6          0       0      0        2
11          42     4          6          0       0      0        2
0           16     4          6          1       1      1        2
0           17     4          6          1       1      1        2
0           18     4          6          1       1      1        2
4           17     4          6          1       1      1        2
5           9      4          6          1       1      1        2
2           15     4          6          1       1      1        2
5           17     4          6          1       1      1        2
5           22     4          6          1       1      1        2
7           17     4          6          1       1      1        2
8           17     4          6          1       1      1        2
9           17     4          6          1       1      1        2
10          17     4          6          1       1      1        2
11          17     4          6          1       1      1        2
7           18     4          6          1       1      1        2
8           18     4          6          1       1      1        2
9           18     4          6          1       1      1        2
10          18     4          6          1       1      1        2
11          18     4          6          1       1      1        2
7           19     4          6          1       1      1        2
8           19     4          6          1       1      1        2
9           19     4          6          1       1      1        2
10          19     4          6          1       1      1        2
11          19     4          6          1       1      1        2
8           20     4          6          1       1      1        2
9           20     4          6          1       1      1        2
10          20     4          6          1       1      1        2
11          20     4          6          1       1      1        2
7           27     4          6          1       1      1        2
8           27     4          6          1       1      1        2
9           27     4          6          1       1      1        2
10          27     4          6          1       1      1        2
11          27     4          6          1       1      1        2
7           41     4          6          1       1      1        2
8           41     4          6          1       1      1        2
9           41     4          6          1       1      1        2
10          41     4          6          1       1      1        2
11          41     4          6          1       1      1        2
6           13     4          6          1       1      1        2
6           16     4          6          1       1      1        2
6           15     4          6          1       1      1        2
13          8      0          0          0       0      0        2
13          9      0          0          0       0      0        2
13          12     0          0          0       0      0        2
13          13     0          0          0       0      0        2
13          25     0          0          0       0      0        2
13          26     0          0          0       0      0        2
13          27     0          0          0       0      0        2
13          22     0          0          0       0      0        2
13          23     0          0          0       0      0        2
13          21     0          0          0       0      0        2
13          24     0          0          0       0      0        2
13          28     0          0          0       0      0        2
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          42     0          0          0       0      0        0
14          19     3          5          0       0      0        0
13          18     3          5          0       0      0        0
end
