0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Box of Kundun 4"	 	 0	   		100		  	  1		  		  0		    		0		   		1
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           20     0          1          1       0      0        2
0           31     0          1          1       0      0        2
0           21     0          1          1       0      0        2
0           16     0          1          1       0      0        4
0           17     0          1          1       0      0        4
0           18     0          1          1       0      0        4
0           24     0          1          1       0      0        4
2           5      0          1          1       0      0        4
2           7      0          1          1       0      0        4
2           10     0          1          1       0      0        4
2           11     0          1          1       0      0        4
2           12     0          1          1       0      0        2
3           10     0          1          1       0      0        3
4           16     0          1          1       0      0        4
4           17     0          1          1       0      0        4
4           19     0          1          1       0      0        3
4           20     0          1          1       0      0        2
4			23	   0          1          1       0      0        2
5			5	   0          1          1       0      0        4
5			9	   0          1          1       0      0        4
5			11	   0          1          1       0      0        2
5			13	   0          1          1       0      0        3
5			17	   0          1          1       0      0        4
5			18	   0          1          1       0      0        3
5			19	   0          1          1       0      0        3
5			20	   0          1          1       0      0        2
5			21	   0          1          1       0      0        4
5			22	   0          1          1       0      0        4
5			23	   0          1          1       0      0        3
6			16	   0          1          1       0      0        4
6			15	   0          1          1       0      0        3
6			8	   0          1          1       0      0        4
6			11	   0          1          1       0      0        4
6			9	   0          1          1       0      0        4
6			17	   0          1          1       0      0        3
6			18	   0          1          1       0      0        3
6			19	   0          1          1       0      0        3
6			20	   0          1          1       0      0        3
6			21	   0          1          1       0      0        3
7			21	   0          1          1       0      0        3
8			21	   0          1          1       0      0        3
9			21	   0          1          1       0      0        3
10			21	   0          1          1       0      0        3
11			21	   0          1          1       0      0        3
7			22	   0          1          1       0      0        3
8			22	   0          1          1       0      0        3
9			22	   0          1          1       0      0        3
10			22	   0          1          1       0      0        3
11			22	   0          1          1       0      0        3
8			23	   0          1          1       0      0        3
9			23	   0          1          1       0      0        3
10			23	   0          1          1       0      0        3
11			23	   0          1          1       0      0        3
7			24	   0          1          1       0      0        3
8			24	   0          1          1       0      0        3
9			24	   0          1          1       0      0        3
10			24	   0          1          1       0      0        3
11			24	   0          1          1       0      0        3
7			28	   0          1          1       0      0        3
8			28	   0          1          1       0      0        3
9			28	   0          1          1       0      0        3
10			28	   0          1          1       0      0        3
11			28	   0          1          1       0      0        3
7			42	   0          1          1       0      0        3
8			42	   0          1          1       0      0        3
9			42	   0          1          1       0      0        3
10			42	   0          1          1       0      0        3
11			42	   0          1          1       0      0        3
13          8      0          0          0       0      0        3
13          9      0          0          0       0      0        3
13          12     0          0          0       0      0        3
13          13     0          0          0       0      0        3
13          25     0          0          0       0      0        3
13          26     0          0          0       0      0        3
13          27     0          0          0       0      0        3
13          22     0          0          0       0      0        3
13          23     0          0          0       0      0        3
13          21     0          0          0       0      0        3
13          24     0          0          0       0      0        3
13          28     0          0          0       0      0        3
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          44     0          0          0       0      0        0
14          19     4          6          0       0      0        0
13          18     4          7          0       0      0        0
end
