0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Box of Kundun 5"	 		0	   100		  		1		  			0		    	0		   		1
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           20     0          1          1       0      0        4
0           31     0          1          1       0      0        4
0           21     0          1          1       0      0        4
2           12     0          1          1       0      0        4
3           10     0          1          1       0      0        4
4           19     0          1          1       0      0        4
4           20     0          1          1       0      0        4
5			11	   0          1          1       0      0        4
5			13	   0          1          1       0      0        4
5			18	   0          1          1       0      0        4
5			19	   0          1          1       0      0        4
5			20	   0          1          1       0      0        4
5			23	   0          1          1       0      0        4
6			15	   0          1          1       0      0        4
6			17	   0          1          1       0      0        4
6			18	   0          1          1       0      0        4
6			19	   0          1          1       0      0        4
6			20	   0          1          1       0      0        4
6			21	   0          1          1       0      0        4
7			21	   0          1          1       0      0        4
8			21	   0          1          1       0      0        4
9			21	   0          1          1       0      0        4
10			21	   0          1          1       0      0        4
11			21	   0          1          1       0      0        4
7			22	   0          1          1       0      0        4
8			22	   0          1          1       0      0        4
9			22	   0          1          1       0      0        4
10			22	   0          1          1       0      0        4
11			22	   0          1          1       0      0        4
8			23	   0          1          1       0      0        4
9			23	   0          1          1       0      0        4
10			23	   0          1          1       0      0        4
11			23	   0          1          1       0      0        4
7			24	   0          1          1       0      0        4
8			24	   0          1          1       0      0        4
9			24	   0          1          1       0      0        4
10			24	   0          1          1       0      0        4
11			24	   0          1          1       0      0        4
7			28	   0          1          1       0      0        4
8			28	   0          1          1       0      0        4
9			28	   0          1          1       0      0        4
10			28	   0          1          1       0      0        4
11			28	   0          1          1       0      0        4
7			42	   0          1          1       0      0        4
8			42	   0          1          1       0      0        4
9			42	   0          1          1       0      0        4
10			42	   0          1          1       0      0        4
11			42	   0          1          1       0      0        4
13          8      0          0          0       0      0        4
13          9      0          0          0       0      0        4
13          12     0          0          0       0      0        4
13          13     0          0          0       0      0        4
13          25     0          0          0       0      0        4
13          26     0          0          0       0      0        4
13          27     0          0          0       0      0        4
13          22     0          0          0       0      0        4
13          23     0          0          0       0      0        4
13          21     0          0          0       0      0        4
13          24     0          0          0       0      0        4
13          28     0          0          0       0      0        4
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          44     0          0          0       0      0        0
14          19     5          7          0       0      0        0
13          18     6          8          0       0      0        0
end
