0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Selupan"		 1000	   100		  5		  0		    0		   1
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
//armas
0           27     0          0          1       1      0        3
0           28     0          0          1       1      0        3
2           17     0          0          1       1      0        3
4           23     0          0          1       1      0        3
5           31     0          0          0       1      0        3
5           44     0          0          0       1      0        3

//escudos
6           17     0          0          1       1      0        3
6           17     0          0          1       1      0        3
6           17     0          0          1       1      0        3
6           17     0          0          1       1      0        3
6           17     0          0          1       1      0        3

//sets
7           45     0          0          0       1      0        3
8           45     0          0          0       1      0        3
9           45     0          0          0       1      0        3
10          45     0          0          0       1      0        3
11          45     0          0          0       1      0        3
7           51     0          0          0       1      0        3
9           51     0          0          0       1      0        3
10          51     0          0          0       1      0        3
8           48     0          0          0       1      0        3
9           48     0          0          0       1      0        3
10          48     0          0          0       1      0        3
11          48     0          0          0       1      0        3
7           49     0          0          0       1      0        3
8           49     0          0          0       1      0        3
9           49     0          0          0       1      0        3
10          49     0          0          0       1      0        3
11          49     0          0          0       1      0        3
7           52     0          0          0       1      0        3
8           52     0          0          0       1      0        3
9           52     0          0          0       1      0        3
10          52     0          0          0       1      0        3
11          52     0          0          0       1      0        3
9           44     0          0          0       1      0        3
10          44     0          0          0       1      0        3
end
2
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption   SocketOption   
//armas
0           26     0          0          1       1      0        2           0           3
0           28     0          0          1       1      0        2           0           3
2           17     0          0          1       1      0        2           0           3
4           23     0          0          1       1      0        2           0           3
5           31     0          0          0       1      0        2           0           3
5           44     0          0          0       1      0        2           0           3

//escudos
6           17     0          0          1       1      0        2           0           3
6           17     0          0          1       1      0        2           0           3
6           17     0          0          1       1      0        2           0           3
6           17     0          0          1       1      0        2           0           3
6           17     0          0          1       1      0        2           0           3

//sets
7           45     0          0          0       1      0        2           0           3
8           45     0          0          0       1      0        2           0           3
9           45     0          0          0       1      0        2           0           3
10          45     0          0          0       1      0        2           0           3
11          45     0          0          0       1      0        2           0           3
8           51     0          0          0       1      0        2           0           3
9           51     0          0          0       1      0        2           0           3
10          51     0          0          0       1      0        2           0           3
8           48     0          0          0       1      0        2           0           3
9           48     0          0          0       1      0        2           0           3
10          48     0          0          0       1      0        2           0           3
11          48     0          0          0       1      0        2           0           3
7           49     0          0          0       1      0        2           0           3
8           49     0          0          0       1      0        2           0           3
9           49     0          0          0       1      0        2           0           3
10          49     0          0          0       1      0        2           0           3
11          49     0          0          0       1      0        2           0           3
7           52     0          0          0       1      0        2           0           3
8           52     0          0          0       1      0        2           0           3
9           52     0          0          0       1      0        2           0           3
10          52     0          0          0       1      0        2           0           3
11          52     0          0          0       1      0        2           0           3
9           44     0          0          0       1      0        2           0           3
10          44     0          0          0       1      0        2           0           3
end
