0
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        0      0       1       2        1            1            0          "Kris"                               6       6           11          50            20           0                 0                 0          40            40             0           0             0               0      1       1       1       1       1       1       1
1        0      0       1       3        1            1            1          "Short Sword"                        3       3           7           20            22           0                 0                 0          60            0              0           0             0               0      1       1       1       1       1       1       1
2        0      0       1       3        1            1            1          "Rapier"                             9       9           15          40            23           0                 0                 0          50            40             0           0             0               0      0       1       1       1       1       1       0
3        0      20      1       3        1            1            1          "Katana"                             16      16          26          35            27           0                 0                 0          80            40             0           0             0               0      0       1       0       1       1       0       0
4        0      21      1       3        1            1            1          "Sword of Assassin"                  12      12          18          30            24           0                 0                 0          60            40             0           0             0               0      0       1       0       1       1       0       0
5        0      22      1       3        1            1            1          "Blade"                              36      36          47          30            39           0                 0                 0          80            50             0           0             0               0      1       1       1       1       1       0       0
6        0      20      1       3        1            1            1          "Gladius"                            20      20          30          20            30           0                 0                 0          110           0              0           0             0               0      0       1       1       1       1       0       0
7        0      21      1       3        1            1            1          "Falchion"                           24      24          34          25            34           0                 0                 0          120           0              0           0             0               0      0       1       0       1       1       0       0
8        0      21      1       3        1            1            1          "Serpent Sword"                      30      30          40          20            36           0                 0                 0          130           0              0           0             0               0      0       1       0       1       1       0       0
9        0      20      2       3        1            1            1          "Sword of Salamander"                32      32          46          30            40           0                 0                 0          103           0              0           0             0               0      0       1       0       1       0       0       0
10       0      22      2       4        1            1            1          "Light Saber"                        40      47          61          25            50           0                 0                 0          80            60             0           0             0               0      0       1       1       1       0       0       0
11       0      20      2       3        1            1            1          "Legendary Sword"                    44      56          72          20            54           0                 0                 0          120           0              0           0             0               0      0       1       0       1       0       0       0
12       0      19      2       3        1            1            1          "Heliacal Sword"                     56      73          98          25            66           0                 0                 0          140           0              0           0             0               0      0       1       0       1       0       0       0
