//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle      NonCustomAttack       ResetEnable       GResetEnable   	Comment
0         *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Lorencia"
1         *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Dungeon"
2         *       10          100              100            1000              0                 0                1              0                 0              1                 1           "Devias"
3         *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Noria"
4         *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Lost Tower"
5         *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Dare Devil"
6         *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Arena"
7         *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Atlans"
8         *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Tarkan"
9         *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Devil Square 1"
10        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Icarus"
11        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Blood Castle 1"
12        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Blood Castle 2"
13        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Blood Castle 3"
14        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Blood Castle 4"
15        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Blood Castle 5"
16        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Blood Castle 6"
17        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Blood Castle 7"
18        *       10          100              100            1000              0                 0                0              0                 1              0                 0           "Chaos Castle 1"
19        *       10          100              100            1000              0                 0                0              0                 1              0                 0           "Chaos Castle 2"
20        *       10          100              100            1000              0                 0                0              0                 1              0                 0           "Chaos Castle 3"
21        *       10          100              100            1000              0                 0                0              0                 1              0                 0           "Chaos Castle 4"
22        *       10          100              100            1000              0                 0                0              0                 1              0                 0           "Chaos Castle 5"
23        *       10          100              100            1000              0                 0                0              0                 1              0                 0           "Chaos Castle 6"
24        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Kalima 1"
25        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Kalima 2"
26        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Kalima 3"
27        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Kalima 4"
28        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Kalima 5"
29        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Kalima 6"
30        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Castle Siege"
31        *       10          100              100            1000              30000             0                1              0                 0              0                 0           "Land of Trials"
32        *       10          100              100            1000              0                 0                1              0                 1              0                 0           "Devil Square 2"
33        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Aida"
34        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Crywolf"
36        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Kalima 7"
37        *       10          100              100            1000              0                 0                1              0                 0              0                 0           "Kanturu 1"
