//Index   Message
0         "Blood Castle se cerrará en %d minuto (s)"
1         "Blood Castle cerrado"
2         "Blood Castle %d comenzará en %d minuto (s)"
3         "El Blood Castle comenzó"
4         "Todos los monstruos fueron derrotados"
5         "Todos los monstruos jefes fueron derrotados"
6         "El Blood Castle ha terminado"
7         "No eres lo suficientemente fuerte como para entrar en el Blood Castle"
8         "%s Player Droped Angel"
9         "%s jugador recogió el arma del ángel"
10        "El jugador %s destruyó la puerta del castillo"
11        "%s jugador destruyó la estatua"
16        "Chaos Castle se cerrará en %d minuto (s)"
17        "Chaos Castle cerrado"
18        "Chaos Castle %d comenzará en %d minuto (s)"
19        "El Chaos Castle comenzó"
20        "El Chaos Castle se acabó"
32        "Cuenta Gratis"
33        "Cuenta bronce"
34        "Cuenta plata"
35        "Cuenta oro"
36        "%d %s Obtenido"
37        "Haz Matado a un Hound"
38        ""
39        ""
40        ""
41        ""
42        ""
43        ""
44        ""
45        ""
46        "El Gran Demonio a atacado Debender"
47        "El jugador %s destruyó al Dragon Ancestral"
48        ""
49        ""
50        "El jugador %s destruyó los Spider Eggs"
51        ""
52        ""
53        ""
54        ""
55        ""
56        ""
57        ""
58        ""
64        "No tienes permitido usar"
65        "Debes tener al menos el nivel %d para usar"
66        "Debes tener al menos %d reset para usar"
67        "Debes tener al menos %d zen para usar"
68        "Tienes que esperar %d segundos para usar"
69        "%s"
70        "No está permitido usar /add"
71        "Mando exclusivo del Dark Lord"
72        "No tienes suficientes puntos para agregar"
73        "Debe tener al menos %d zen para usar /add"
74        "Usted agregó %d puntos, dejando %d puntos por distribuir"
75        "No tienes permitido usar /pkclear"
76        "Tú no eres PK"
77        "Debe tener al menos %d zen para usar /pkclear"
78        "Has limpiado tu PK con éxito"
79        "No tienes permitido usar /zen"
80        "Ingresó un valor no válido para add"
81        "No está permitido usar /change"
82        "Debes tener al menos %d zen para usar /change"
83        "Ya no puedes evolucionar"
84        "Has evolucionado exitosamente"
85        "No tienes permitido usar /ware"
86        "No puedes usar /ware en este momento"
87        "Usted escribió un cofre no válido para change"
88        "Te has movido con éxito al tronco %d"
89        "No tienes permitido usar /reset"
90        "No puedes usar /reset en el momento"
91        "Debes tener el nivel %d para para poder hacer reset"
92        "Debes tener al menos %d zen para usar /reset"
93        "No puedes tener más de %d resets"
94        "No se puede resetear con elementos equipados"
95        "Se restableció correctamente, y ahora tiene %d restablecimientos"
96        "No está permitido usar /gmmove"
97        "Has introducido un destino no válido para /gmmove"
98        "No está permitido usar /gmpost"
99        "No está permitido usar la /track"
100       "Has introducido un objetivo no válido para /track"
101       "No tienes permiso para usar /trace"
102       "Has introducido un destino no válido para /trace"
103       "No está permitido usar /disconnect"
104       "Has introducido un destino no válido para /disconnect"
105       "No tienes permiso para usar /Fireworks"
106       "No tienes permitido usar /make"
107       "Has creado correctamente el artículo"
108       "No tienes permitido usar /skin"
109       "Has introducido un objetivo no válido para /skin"
110       "No tienes permitido usar /setmoney"
111       "Has introducido un destino no válido para /setmoney"
112       "Ha ingresado un valor no válido para /setmoney"
113       "No está permitido usar /notice"
114       "Adición automática de puntadas: Encendido (%d)"
115       "Adición automática de puntadas: Apagado"
116       "Auto Reset: on"
117       "reset automático: off"
118       "No tienes permiso para usar /mreset"
119       "No puedes usar /mreset en este momento"
120       "Debe tener al menos %d niveles para usar /mreset"
121       "Debe tener al menos %d reset para usar /mreset"
122       "Debe tener al menos %d zen para usar /mreset"
123       "No puedes tener más de %d resets masters"
124       "No se puede resetear el master con elementos equipados"
125       "El reset master se realizó con éxito y ahora tiene %d reset master"
126       "Recepción de solicitudes: Activado"
127       "Recepción de solicitudes: desactivado"
128       "Recepción de solicitudes: Automático"
129       "Solo puedes resetear %d veces por día"
130       "Solo puedes resetear %d veces por sí mismo"
131       "Solo puedes resetear %d veces por mes"
132       "Solo puedes resetear el master %d por día"
133       "Solo puedes resetear el master %d veces por semana"
134       "Solo puedes resetear el master %d veces por mes"
135       "No está permitido usar /ocultar"
144       "Devil Square se cerrará en %d minuto (s)"
145       "Devil Square cerrada"
146       "Devil Square %d comenzará en %d minuto (s)"
147       "Devil Square comenzó"
148       "Devil Square ha terminado"
149       "No eres lo suficientemente fuerte como para entrar en Devil Square"
159	      "hola"
160       "El jugador objetivo no está en línea"
161       "No puedes hacer duelo por el momento"
162       "El jugador objetivo ha rechazado automáticamente su solicitud de duelo"
163       "¿Alguna vez has pedido o te han pedido un duelo?"
164       "El jugador objetivo ya ha pedido o ha pedido un duelo"
165       "No puedes hacer duelo mientras estés en la Guerra de Guild"
166       "El jugador objetivo no puede aceptar duelo en la guerra de Guild"
167       "No puedes hacer duelo en este mapa"
168       "No puedes hacer duelo durante el Castle Siegue"
169       "El nombre del jugador objetivo no es válido"
170       "No puedes luchar en defensa propia"
171       "El jugador objetivo no puede aceptar duelo con Defensa Personal"
172       "El jugador objetivo declinó su solicitud de Duelo"
173       "Todas las arenas están llenas en este momento"
174       "¡Duelo entre %s y %s comenzó!"
175       "%s jugador ganó a %s en duelo!"
176       "Illusion Temple se cerrará en %d minuto (s)"
177       "Illusion Temple cerrado"
178       "Illusion Temple %d comenzará en %d minuto (s)"
179       "Illusion Temple comenzó"
180       "Illusion Temple ha terminado"
181       "No eres lo suficientemente fuerte como para entrar en Illusion Temple"
182       "No tienes el objeto necesario para entrar en el Templo de Ilusión"
183       "%s jugador cayó artefacto"
