//Index   Message
0         "Huyết Lâu sẽ đóng trong vòng %d phút"
1         "Huyết Lâu đã đóng"
2         "Huyết Lâu %d sẽ bắt đầu trong vòng %d phút"
3         "Huyết Lâu đã bắt đầu"
4         "Tất cả quái vật đã bị đánh bại"
5         "Tất cả quái vật BOSS đã bị đánh bại"
6         "Huyết Lâu đã kết thúc"
7         "Bạn không đủ mạnh mẽ để tham gia Huyết Lâu"
8         "Đồng chí %s dropped weapon Angel"
9         "Đồng chí %s đã lấy vũ khí của Thánh Sứ"
10        "Đồng chí %s đã tiêu diệt Castle Gate"
11        "Đồng chí %s đã tiêu diệt Statue"
16        "Hỗn Nguyên Lâu sẽ đóng trong vòng %d phút"
17        "Hỗn Nguyên Lâu đã đóng"
18        "Hỗn Nguyên Lâu %d sẽ bắt đầu trong vòng %d phút"
19        "Hỗn Nguyên Lâu đã bắt đầu"
20        "Hỗn Nguyên Lâu đã kết thúc"
32        "Tài khoản đã bắt đầu"
33        "Tài khoản Đồng"
34        "Tài khoản Bạc"
35        "Tài khoản Vàng"
36        "%d %s obtained"
37        "Have đã tiêu diệt một Hound"
38        ""
39        ""
40        ""
41        ""
42        ""
43        ""
44        ""
45        ""
46        "Chúa Quỷ đã tấn công Debender"
47        "Đồng chí %s đã tiêu diệt The Ancient Dragon"
48        ""
49        ""
50        "Đồng chí %s đã tiêu diệt the Spider Eggs"
51        ""
52        ""
53        ""
54        ""
55        ""
56        ""
57        ""
58        ""
64        "Bạn không có quyền hạn để sử dụng /post"
65        "Bạn phải đạt tối thiểu level %d để sử dụng /post"
66        "Bạn phải đạt tối thiểu %d resets để sử dụng /post"
67        "Bạn phải đạt tối thiểu %d Zen để sử dụng /post"
68        "Bạn phải chờ %d giây để sử dụng /post"
69        "[GLOBAL] %s"
70        "Bạn không có quyền hạn để sử dụng /add"
71        "Exclusive Command Dark Lord"
72        "Bạn không có đủ điểm để cộng"
73        "Bạn phải có ít nhất %d Zen để sử dụng /add"
74        "Bạn đã cộng %d điểm, còn lại %d điểm để phân bổ"
75        "You do not have permission to use /pkclear"
76        "You're not PK"
77        "You must have at least %d Zen to use /pkclear"
78        "Bạn đã xóa PK"
79        "You do not have permission to use /money"
80        "You entered an invalid value to add"
81        "You do not have permission to use /change"
82        "You must have at least %d Zen to use /change"
83        "Bạn không thể thăng chức hơn nữa"
84        "Bạn đã thăng chức thành công"
85        "You do not have permission to use /ware"
86        "You can not use /ware at moment"
87        "You have entered an invalid chest to change"
88        "You moved to chest %d successfully"
89        "You do not have permission to use /reset"
90        "You can not use /reset at time"
91        "You must be at least level %d to use /reset"
92        "You must have at least %d Zen to use /reset"
93        "You can not have more than %d resets"
94        "You can not reset with items equipped"
95        "You successfully reseted, and now have %d resets"
96        "You do not have permission to use /gmmove"
97        "You have entered an invalid target for /gmmove"
98        "You do not have permission to use /gmpost"
99        "You do not have permission to use /track"
100       "You have entered an invalid target for /track"
101       "You do not have permission to use /trace"
102       "You have entered an invalid target for /trace"
103       "You do not have permission to use /disconnect"
104       "You have entered an invalid target for /disconnect"
105       "You do not have permission to use /fireworks"
106       "You do not have permission to use /make"
107       "You successfully created item"
108       "You do not have permission to use /skin"
109       "You have entered an invalid target for /skin"
110       "You do not have permission to use /setmoney"
111       "You have entered an invalid target for /setmoney"
112       "You entered an invalid value for /setmoney"
113       "You do not have permission to use /notice"
114       "Automatic points add: On (%d)"
115       "Automatic points add: Off"
116       "Automatic reset: On"
117       "Automatic Reset: Off"
118       "You do not have permission to use /mreset"
119       "You can not use /mreset at time"
120       "You must have at least %d levels to use /mreset"
121       "You must have at least %d resets to use /mreset"
122       "You must have at least %d Zen to use /mreset"
123       "You can not have more than %d master resets"
124       "You can not reset master with items equipped"
125       "Master successfully reseted, and now have %d master resets"
126       "Requests as received: Connected"
127       "Requests received: Off"
128       "Requests as received: Automatic"
129       "You can only reset %d times a day"
130       "You can only reset %d times a week"
131       "You can only reset %d times a month"
132       "You can only reset master %d times a day"
133       "You can only reset master %d times a week"
134       "You can only reset master %d times a month"
135       "You do not have permission to use /hide"
144       "Quảng Trường Quỷ sẽ đóng trong vòng %d phút"
145       "Quảng Trường Quỷ đã đóng"
146       "Quảng Trường Quỷ %d sẽ bắt đầu trong vòng %d phút"
147       "Quảng Trường Quỷ đã bắt đầu"
148       "Quảng Trường Quỷ đã kết thúc"
149       "Bạn không đủ mạnh mẽ để tham gia Quảng Trường Quỷ"
159	  	  "xin chào"
160       "Đối tượng người chơi không trực tuyến"
161       "Bạn không thể quyết đấu trong thời điểm này"
162       "Target player refused his duel application automatically"
163       "Have you ever asked or been asked to duel"
164       "Target player ever asked or been asked to duel"
165       "You can not duel being in Guild War"
166       "Target player can not duel in Guild War"
167       "You can not duel in this map"
168       "You can not duel during Castle Siege"
169       "Target player name is invalid"
170       "You can not duel with Self Defense"
171       "Player can not target duel Self Defense"
172       "Target player refused his request duel"
173       "All arenas are full at moment"
174       "Duel between %s and %s started!"
175       "Player %s won %s duel!"
176       "Illusion Temple will close in %d minute(s)"
177       "Illusion Temple closed"
178       "Illusion Temple %d will start in %d minute(s)"
179       "Illusion Temple started"
180       "Illusion Temple finished"
181       "You're not strong enough to enter Illusion Temple"
182       "You do not have required item to enter Illusion Temple"
183       "player %s dropped artifact"
184       "player %s picked up artifact"
191       "Cuộc xâm lược của Balrog đã bắt đầu ở Lost Tower!"
192       "Skeleton King Invasion đã bắt đầu!"
193       "Cuộc xâm lấn của Red Dragon đã bắt đầu!"
194       "Cuộc xâm lấn của Dourados đã bắt đầu!"
195       "Cuộc xâm lấn của White Wizard đã bắt đầu!"
196       "New Year invasion đã bắt đầu!"
197       "Cuộc xâm lấn của Rabbits đã bắt đầu!"
198       "Cuộc xâm lấn của Summer đã bắt đầu!"
199       "Christmas Invasion đã bắt đầu!"
200       "Cuộc xâm lấn của Medusa đã bắt đầu!"
201       "Đồng chí %s đã tiêu diệt một Lunar Rabits!"
202       "Đồng chí %s đã đánh bại Skeleton King!"
203       "Đồng chí %s đã đánh bại Red Dragon!"
204       "Đồng chí %s đã đánh bại Golden Great Dragon!"
205       "Đồng chí %s đã đánh bại White Wizard!"
206       "Đồng chí %s đã đánh bại Cursed Santa!"
207       "Đồng chí %s đã đánh bại Medusa!"
208       "Merchant Moss đã xuất hiện!"
209       "Merchant Moss đã rời đi!"
210       "Cuộc xâm lấn của Invoking Demons đã bắt đầu!"
211       "Cuộc xâm lấn của Eggs Event đã bắt đầu!"
212       "Player %s claimed his new year's prize!"
213       "Đồng chí %s đã tiêu diệt một Summers!"
214       "Đồng chí %s đã tiêu diệt một Balrog!" 
215       "Happy Hour Event Has Started 10% additional exp"
216       "Happy Hour Event Has Ended exp Restored"
