//Index   Flag   Map   X      Y      TX      TY      TargetGate   TargetDir   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel
1         1      0     121    232    123     233     2            0           20         1000       *          *          0
2         2      1     107    247    110     247     0            1           20         1000       *          *          0
3         1      1     108    248    109     248     4            0           0          1000       *          *          0
4         2      0     121    231    123     231     0            1           0          1000       *          *          0
5         1      1     239    149    239     150     6            0           20         1000       *          *          0
6         2      1     231    126    234     127     0            1           20         1000       *          *          0
7         1      1     232    127    233     128     8            0           20         1000       *          *          0
8         2      1     240    148    241     151     0            3           20         1000       *          *          0
9         1      1     2      17     2       18      10           0           20         1000       *          *          0
10        2      1     3      83     4       86      0            3           20         1000       *          *          0
11        1      1     2      84     2       85      12           0           20         1000       *          *          0
12        2      1     3      16     6       17      0            3           20         1000       *          *          0
13        1      1     5      34     6       34      14           0           20         1000       *          *          0
14        2      1     29     125    30      126     0            1           20         1000       *          *          0
15        1      1     29     127    30      127     16           0           20         1000       *          *          0
16        2      1     5      32     7       33      0            1           20         1000       *          *          0
17        0      0     133    118    151     135     0            0           0          1000       *          *          0
18        1      0     5      38     6       41      19           0           15         1000       *          *          0
19        2      2     242    34     243     37      0            7           15         1000       *          *          0
20        1      2     244    34     245     37      21           0           0          1000       *          *          0
21        2      0     7      38     8       41      0            3           0          1000       *          *          0
22        0      2     197    35     218     50      0            0           15         1000       *          *          0
23        1      0     213    246    217     247     24           0           10         1000       *          *          0
24        2      3     148    5      155     6       0            5           10         1000       *          *          0
25        1      3     148    3      155     4       26           0           10         1000       *          *          0
26        2      0     213    244    217     245     0            1           10         1000       *          *          0
27        0      3     171    108    177     117     0            0           0          1000       *          *          0
28        1      2     2      248    3       249     29           0           40         1000       *          *          0
29        2      4     162    2      166     3       0            5           40         1000       *          *          0
30        1      4     190    6      191     8       31           0           40         1000       *          *          0
31        2      4     241    237    244     238     0            1           40         1000       *          *          0
32        1      4     166    163    167     166     33           0           40         1000       *          *          0
33        2      4     86     166    87      168     0            3           40         1000       *          *          0
34        1      4     132    245    135     246     35           0           50         1000       *          *          0
35        2      4     87     86     88      89      0            3           50         1000       *          *          0
36        1      4     132    135    135     136     37           0           50         1000       *          *          0
37        2      4     128    53     131     54      0            1           50         1000       *          *          0
38        1      4     131    15     132     18      39           0           50         1000       *          *          0
39        2      4     52     53     55      54      0            1           50         1000       *          *          0
40        1      4     6      5      7       8       41           0           50         1000       *          *          0
41        2      4     8      85     9       87      0            1           50         1000       *          *          0
42        0      4     203    70     213     81      0            0           40         1000       *          *          0
43        1      4     162    0      166     1       44           0           15         1000       *          *          0
44        2      2     2      246    3       247     0            2           15         1000       *          *          0
