/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 002 - Pasi the Wizard
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
7	2	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Pad Helm
7	4	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Bone Helm
7	7	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Sphinx Mask
7	3	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Legendary Helm
8	2	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Pad Armor
8	4	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Bone Armor
8	7	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Sphinx Armor
8	3	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Legendary Armor
9	2	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Pad Pants
9	4	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Bone Pants
9	3	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Legendary Pants
9	7	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Sphinx Pants
10	2	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Pad Gloves
10	4	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Bone Gloves
10	3	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Legendary Gloves
10	7	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Sphinx Gloves
11	2	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Pad Boots
11	4	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Bone Boots
11	3	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Legendary Boots
11	7	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Sphinx Boots
6	14	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Legendary Shield
15	5	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Teleport
15	4	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Flame
15	17	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Ice Storm
15	2	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Lighting
5	5	6	0	0	1	4	0	0	0	0	255	255	255	255	255	//Legendary Staff
5	6	6	0	0	1	4	0	0	0	0	255	255	255	255	255	//Staff of Resurrection
15	8	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Evil Spirit
15	13	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Inferno
15	7	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Twister
15	11	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Aqua Beam
15	15	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Soul Barrier
15	16	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Scroll of Decay
end
