/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 003 - Harold the Wandering Merchant
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
7	25	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Light Plate Mask
9	25	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Light Plate Pants
10	25	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Light Plate Gloves
8	25	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Light Plate Armor
11	25	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Light Plate Boots
11	26	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Adamantine Boots
10	26	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Adamantine Gloves
9	26	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Adamantine Pants
8	26	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Adamantine Armor
7	26	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Adamantine Mask
2	8	6	0	1	1	4	0	0	0	0	255	255	255	255	255	//Battle Scepter
2	9	6	0	1	1	4	0	0	0	0	255	255	255	255	255	//Master Scepter
6	7	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Spiked Shield
12	21	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Scroll of FireBurst
12	22	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Scroll of Summon
12	23	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Scroll of Critical Damage
12	24	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Scroll of Electric Spark
12	35	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Scroll of Fire Scream
12	48	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Scroll of Chaotic Diseier
end
