/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 006 - Lumen the Barmaid
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
14	0	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale

12	31	2	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale
12	30	2	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale
12	141	2	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale
12	137	2	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale
13	165	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale
13	166	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale
13	167	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale
13	170	0	0	0	0	0	0	0	0	0	255	255	255	255	255	//Ale

end
