/////////////////////////////////////////////////////////////////////////////
//Shop Editor cortesia de www.fb.com/igkgamers
///////////////////////////
//Aporte de www.fb.com/karuritoku
///////////////////////////
//Shop: 010 - Elf Lala
/////////////////////////////////////////////////////////////////////////////
//Group	Index	Level	Dur	Skill	Luck	Opt	ExeOpt	Acc	JoH	Oex	Sck[1]	Sck[2]	Sck[3]	Sck[4]	Sck[5]	Info
/////////////////////////////////////////////////////////////////////////////
//
7	10	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Vine Helm
7	11	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Silk Helm
7	13	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Spirit Helm
7	12	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Wind Helm
8	10	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Vine Armor
8	11	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Silk Armor
8	13	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Spirit Armor
8	12	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Wind Armor
9	10	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Vine Pants
9	11	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Silk Pants
9	13	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Spirit Pants
9	12	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Wind Pants
10	10	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Vine Gloves
10	11	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Silk Gloves
10	13	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Spirit Gloves
10	12	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Wind Gloves
11	10	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Vine Boots
11	11	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Silk Boots
11	13	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Spirit Boots
11	12	3	0	0	1	4	0	0	0	0	255	255	255	255	255	//Wind Boots
4	7	3	100	0	1	0	0	0	0	0	255	255	255	255	255	//Bolt
4	15	3	100	0	1	0	0	0	0	0	255	255	255	255	255	//Arrow
12	17	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Penetration
12	18	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Ice Arrow
12	8	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Healing Orb
12	9	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Greater Fortitude
12	10	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Greater Damage
12	11	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Orb of Summoning
12	45	0	0	0	1	0	0	0	0	0	255	255	255	255	255	//Crystal of Multi-Shot
end
