//===================================================================================
// numb  Type   Index  Level   Skill   Luck       Option   Excellent
//===================================================================================
0         13     0      0        0       0          0          0 //Angle
1         14     14     0        0       0          0          0 //Soul
2         13     80     0        0       0          0          0 //Panda
3         14     22     0        0       0          0          0 //Creation
4         12     15     0        0       0          0          0 //Chaos
5         13     123    0        0       0          0          0 //Pet Skeleton
6         13     67     0        0       0          0          0 //Pet Rudolf
7         14     13     0        0       0          0          0 //Bless
8         13     65     0        0       0          0          0 //Pet Spirit Of Guardian
9         13     64     0        0       0          0          0 //Pet Demon
10        13     1      0        0       0          0          0 //Imp
11        14     16     0        0       0          0          0 //Life
end
